featureid	Intercept	Subject[T.FAT_008]	Subject[T.FAT_012]	Subject[T.FAT_015]	Subject[T.FAT_020]	Subject[T.R01]	Subject[T.R02]	Subject[T.V1]	Subject[T.V2]	Subject[T.V3]	Donor[T.DS04]	Donor[T.FAT_DON_11]	Donor[T.FAT_DON_19]	Donor[T.FAT_DON_8]	Donor[T.SPB_T43]	Dataset[T.SPB18]	Dataset[T.VRIEZE12]	group[T.stay]	Time
K00042	-1.11516241150446	0.488241362802609	0.44104845527693	0.9379568939346	-1.59334187113514	-1.91303006690341	-0.728093747326209	-0.464313153596328	0.668361302842401	-1.6509383619804	-0.71809335950017	-0.307949570716327	-1.62804220032053	0.0980924044451996	-1.06770444907465	-1.10221540989852	-0.550822904843018	-1.15995208177888	-0.00512880427908446
K00046	1.31236045641355	-0.199099403388874	0.0662271500019667	-0.558874344335206	1.89521737492809	0.444747960750287	-0.0761035422766941	0.418691988615586	-0.0596948299510255	0.486415296695752	-0.0422346234619621	0.458868654667431	-0.236317017787269	-0.590463730255576	-0.226964722054382	-0.0290949797866311	-0.282059809702561	0.553085334560041	0.00108843700814698
K00048	1.7520708350604	-0.296830427415745	0.23848862651869	-0.496742373214371	-0.123910619847682	0.974135896746342	0.0463537831818325	0.127109940676286	-0.0379990372760072	-0.0647214354056881	0.243885523051023	-0.019722310603565	0.465597411877343	-0.532163324514838	-0.0823934177330925	0.396426632380727	0.0610605864346767	0.276889927646284	0.000947054790739754
K00052	1.00901191515379	-0.200668525464908	0.76407296661421	-0.615596389279969	0.815010384686085	1.83078976589841	0.800560023358987	0.249682541517808	-0.138007763396002	0.105349808834119	0.728815144270658	0.430551680027539	-0.0451718361313848	-0.775142262438746	-0.402843604462524	1.44938690898443	0.784979858857467	0.209978468677168	0.000736888813261727
K00053	0.532226970619485	-0.237251025207416	0.554022264519179	-0.599355971322663	2.17762585080394	2.55405505615873	0.877092864087747	0.988798733381822	0.466822382439874	0.632495194576307	1.00933856365085	1.12785628646522	-0.710332387798598	0.0607087288699433	0.203855862242799	0.815843417620901	0.868496695023849	0.343888409396772	0.00132983581948731
K00054	-0.493764469199851	0.85717718624316	0.123873662987196	-1.34049031685413	-0.797980829112438	-2.88621632140475	-1.03821364445336	-0.579171095462249	-0.132041278849341	-0.130715280868487	-1.02821325662732	-1.91641995102257	0.0958929269377681	0.0930705343089386	-0.684529552834411	0.018780424571279	-0.0312992544352269	-0.585614614227648	-0.00165897948812987
K00057	-0.144168624454215	-0.139951777227299	0.643996906319105	-0.522636627660401	1.41967602170238	2.62380369621915	0.961474086812661	0.578773852018907	0.229841586579584	0.432212620876355	1.3531119286716	1.36910119861274	0.396526357418725	0.206441191276102	0.869541277510743	0.734725668406728	0.719453254205062	0.263770587703352	0.000911768841032723
K00058	0.323474338478372	-0.201043855913059	-0.318556296786821	-0.509392207370408	-0.139809443585781	2.24881132561368	0.898755933812783	0.35498880925615	0.152537759770654	0.410680204532666	0.961774057120084	-0.715582592190212	-0.105706104749015	-0.677180709997626	-0.28815163172998	1.73340852496648	2.40676240013249	0.282879002353315	0.00142913715768311
K00059	-0.35108298974581	0.0484745385571558	0.357887339630568	-0.164932524667389	0.645307735569569	2.79881795365018	1.60156038003318	0.778207774786546	0.648860212792657	0.804235011241956	1.43480247852206	0.555011304318005	0.478265425450036	0.204113987525491	0.60579048596106	1.54393871066594	2.0163312344373	0.512015588542585	0.00120800392556641
K00065	-1.21109513359614	0.318713414899929	0.523897481003248	0.839703405393951	-1.52437548243275	-1.70317439120608	-0.703112293311431	-2.44035125193159	0.678348895539545	0.551000386379285	-0.693111905485392	-0.28316932708115	-1.55907581161814	0.125290957530527	-0.99412656821527	-1.01274807813143	-0.562352737921402	-1.46851896498525	-0.00278479201864745
