featureid	Intercept	Subject[T.FAT_008]	Subject[T.FAT_012]	Subject[T.FAT_015]	Subject[T.FAT_020]	Subject[T.R01]	Subject[T.R02]	Subject[T.V1]	Subject[T.V2]	Subject[T.V3]	Donor[T.DS04]	Donor[T.FAT_DON_11]	Donor[T.FAT_DON_19]	Donor[T.FAT_DON_8]	Donor[T.SPB_T43]	Dataset[T.SPB18]	Dataset[T.VRIEZE12]	group[T.settle]	Time
K00016	-0.165184830497785	0.129179685191971	-0.207175255933633	0.225864405661977	0.623695423149964	1.07371244683549	-0.664508725079354	-0.00472018232793858	-0.190153021025082	-0.0815399806337891	1.58087056305333	0.0894384415990315	0.183680144989646	0.650906430396584	0.0612658172452598	1.94337069384533	0.701442925145002	0.445282359377783	2.19333565687485e-05
K00018	0.250701810050921	-0.236808867378372	0.543019293626914	-0.101794843643748	-0.106844852423767	0.389998593476271	0.0850923410331639	0.109981446357059	0.279123526406864	0.189118452803558	0.460801059269152	1.29832411130728	1.42488297625796	0.489560114058998	0.712999811729208	-0.173051244097178	-0.591248603652148	0.805756469027441	3.21749810927585e-06
K00020	-1.5724348474255	0.227151601390702	-0.0457546722086571	0.201124186545766	-0.261681626296142	-3.26807393774703	-1.10025604304915	-0.308584422974301	-0.0600189153427086	-0.496391467316681	-0.983028134442129	-0.318907972967009	1.85400041743532	0.0638950335116656	-0.11983085576652	0.474276417417104	-0.444502504656939	1.25347032095615	-0.00147175904150254
K00024	0.416273976493792	-0.216773660106796	1.03797066100515	-0.379177277058207	0.570161392235657	0.870682218220687	1.466789876548	0.781816749663639	0.66462789137421	0.667458720938629	-0.504163449741163	0.456040743196627	-0.221593828952157	-0.603916449633095	1.2274498849714	-1.07179487355274	0.144149033238264	0.306944508807104	0.00247704867486709
K00027	-0.24911621696858	0.198269574718338	0.180178760370383	0.221785898238577	0.193138172173401	2.03731618180559	2.61683264884109	0.212367801757144	0.222613793206791	0.203498669402069	-0.398084646201887	0.760429981554171	0.335746137344992	0.743748651656655	1.19939326341988	0.992303484601553	1.16902968089757	0.155094166056555	0.000265239516541893
K00029	-0.548619185756727	-0.207259924335617	0.931333779176841	-0.221831207245432	1.12645082666864	1.56919942155168	0.954811965552512	1.04606190213709	0.962899547410587	1.01226396156973	0.292541438602648	0.521486762369295	-0.893473329102838	-0.626242919054481	-0.324165234009013	0.60809838168102	0.447993485142561	0.288837332980078	0.00200807932977431
K00031	-0.0168579567184881	0.0628105092810214	0.921118735155234	0.0611723614038597	0.927667190575501	2.12816748872087	1.39961901816482	0.607235579581546	0.595428090882877	0.602807231680817	0.696722322963915	2.12777209600272	1.1378587166907	1.31113217941239	2.74624513681771	-0.943845278101389	-0.372849138568072	0.239642758623999	0.000159858504579002
K00033	-0.329893266033216	-0.148496062679428	0.563495873293052	-0.231344943016611	-0.013349483466247	0.478050508645034	-0.377409840496835	0.434342055411624	0.390301924539188	0.297015615240997	0.919869119190417	-0.376458760892729	0.0917391459585788	-0.640406130042526	0.436635246833578	0.170149558705862	0.659973708798261	0.0797288611096553	0.00229298953180068
K00036	-0.249847983192487	-0.129987389965194	0.587360023340354	-0.235051517456614	-0.988994288003543	0.342725732472396	-0.599135751398858	0.448286204428958	0.289169174028019	0.18408937050528	1.11559408333226	0.265174630487581	1.52486881419436	-0.238901509132835	0.380000105460897	-0.217920190172617	-0.105092318843035	-0.0385473177271672	0.0021282422936415
K00040	0.659066702056841	0.321385591106278	0.345651863893638	0.273087615996755	0.580927183174988	0.0765290345220325	0.0310129276191624	0.0438640404656405	0.0427833612686195	0.0180025775594177	-0.234782045818128	0.36848628839316	-0.0865660031197903	-0.409147394981834	-0.294446119705424	0.686816090268667	-0.513472350428728	-0.0864690944987127	0.000322102347657616
K00041	1.01026823632808	0.124357073383194	-0.753378079453339	0.0387074899973046	0.0326135058640448	-0.0179687057466748	-1.26004102316743	0.578716902823734	0.54398797113953	0.408378549353546	1.03377907898351	-0.133521911298613	-0.16469249323591	0.0440392362208636	0.461193314155355	-0.794404572325175	-0.0105682929259818	-0.0294596955614873	0.00125217322473281
K00042	-0.781280462812467	0.425526588039261	-0.949404143908849	0.388550038367666	-0.73686113462458	0.34146002784059	-0.615993733080682	0.191992430777835	0.157254796815494	-0.140158287747437	-0.748061513639249	-1.44622221270738	-0.844051094806039	-1.21890611776397	-0.39375139180778	0.470036619824941	0.962704626728864	-2.27426264737423	-0.00159049149389512
K00046	-0.269528065990491	0.0862317968176425	-0.390967101970544	0.130052680999197	0.0829297800301519	1.86101398721025	0.431532656279746	0.394235758872318	0.280342918229679	0.325612970129913	1.47794240143224	1.26308393796744	1.07012888594881	0.994271265182045	2.11170076425911	-0.237229710894053	0.521444169689985	0.162574191347998	0.0011584747231459
K00048	0.688347364593463	0.0333720136450351	-0.360055417934289	0.0138350677789818	0.46304922296991	1.12166235699937	0.171331559745017	0.427408485503482	0.371036034417728	0.402267046706146	0.992979222797595	1.09024572690787	0.581805316651023	1.23350642791703	0.119216075500265	0.755478256864126	-0.0551189501983207	0.376432318941992	0.000294445792481834
K00052	-0.411855434249921	0.0763512540625155	1.46646058448232	0.080343956977285	1.01185779764642	2.52208171143816	0.984146868315879	0.311903743834781	0.321452480149845	0.277314730421967	1.53295558121129	1.05060482343497	-0.0376000721810696	-0.458067311134788	1.191118469795	1.21952044360119	1.18306156795201	0.167905111567419	0.000766276160523827
K00053	0.587408329177813	0.0841786552237094	1.22737634070791	0.0879299593271385	0.0780363579033819	1.73340735688493	0.68695036086196	0.0948851395562167	-0.0439598743194543	0.0608961064977112	1.01771944191381	0.878309014642855	0.739015905106223	-0.370187891808006	0.300196400245443	1.59661232821422	0.515739051510664	0.231706638590734	0.000974534789369041
K00054	-0.824356292556806	0.42503592260347	-0.770696853468051	0.480446095496572	-1.22532893226157	-2.18066253409102	-2.16516372052079	-0.289818854241086	-0.379343706774136	-0.385660342438751	-2.25393885943965	-0.55871274748979	-1.1680633892177	-0.819873163637373	-0.200896987358317	-0.19558048852009	-0.142273815463213	-3.41900930856045	-0.0032128107153917
K00057	-0.253784393142743	0.0228571582602084	0.715498327097068	0.0701286745370995	1.7144594688653	1.94293675675676	1.46104327353591	0.327290682883548	0.241548758340458	0.366349287764496	0.538249188923083	1.92664456685843	0.268285600388205	1.31599258056596	0.871957054694906	0.842159384412344	-0.233193548510699	0.329313297526281	0.00118648890619033
K00058	0.589092041183428	-0.0307828497125089	0.451024173578391	0.0133069706262718	0.515394141220948	1.14118204369829	0.765800868598166	0.0981239367440219	0.222022753549198	0.171763964430756	0.377201134227954	0.68563032468619	0.339705793106711	0.333165513190773	0.53467034395577	0.539059036893423	0.262942043949934	0.460269470469396	0.00101244334344619
K00059	0.530433560539202	-0.13887038938536	-0.488380254426827	-0.116770629852854	-0.291513989424804	1.60101423516557	1.33400717887038	0.51074066648035	0.565619808030704	0.5400461633367	0.324769670032702	0.359327319467684	0.664468614304221	0.780806766662148	0.94629954393746	0.194626682920034	1.19487520854649	0.82921804930393	0.00105178240899795
K00065	-0.479423438381238	0.487470357494217	-0.517695070424905	0.253020997077383	-0.248629043555358	-1.10703923449233	-0.788205484422502	-0.399882049469662	-0.311331290411373	-0.173473529084259	-0.876898532844343	0.132549765909334	-0.0408190806268094	-0.248336328354332	0.537445059379354	0.262396687192495	-0.353279503176836	-2.33414278481777	-0.00176453705663926
K00067	-0.243482028316541	0.12979563959108	1.0474812973348	0.171708340674795	0.876342942261597	2.28276238694475	1.05506197127456	0.923105149359989	0.88440499861298	0.891966887251801	1.08177273895665	1.34735131582083	0.596664516174948	-0.0557831657795637	0.829017391761556	0.519042605084951	0.579067794491621	-0.0154745385485479	0.00108659152154678
K00068	-1.0174437660685	0.132088749484879	-0.830758061440518	-0.204962496727549	-1.44476688907156	-1.53456213221266	-1.28459384528047	-0.441311092285824	-0.426749068903347	-0.27652447627359	-1.37344045016841	-0.556089159643034	-1.54691782788023	-0.982952943232509	-0.628685602585062	-0.632402783708994	0.509193984677168	-0.396187762959559	0.00298738364343398
K00074	0.705673719573931	0.146706073360306	0.564092992624412	0.195427174598135	-0.130097339606384	0.522361912873244	0.282250439253989	0.263995318503665	0.133426886392216	0.233836599127716	0.216956073307238	-0.404714879190306	-0.026540132319772	-0.980117557731125	-0.137005814949259	0.9644640623756	0.722433654476972	0.338619251505773	0.000499008933350975
K00075	0.638569022346453	-0.00381699316038486	0.197756050905357	0.00192582133427965	0.776453783059022	0.302868046906447	0.0969859710609349	-0.562939913181973	-0.42177130620422	-0.460625938637787	0.255990797542773	1.84183812459769	1.06311842604891	1.64778994193986	-0.0103465408480019	1.14568960062938	-1.18807137210193	0.296981115595739	-0.000712395867064064
K00077	-0.626820420097394	0.0407167363928378	-0.519882352271905	-0.0491205501256813	0.345612813973328	1.51818833604143	0.654735600081626	0.168976931662845	0.182365876031498	0.242376275793976	0.966474706196032	0.524519685114046	0.324687568390525	0.751746879729775	1.30363558824898	0.628149622602041	1.3880359808701	0.361923594729345	0.000471829215333397
